# ID    tau_v16   tau_v50   tau_v84   age_mw16   age_mw50   age_mw84   Mstar16   Mstar50   Mstar84   SFR16_7   SFR50_7   SFR84_7   SFR16_8   SFR50_8   SFR84_8 
  10578         2.282   2.282   2.282   8.275   8.275   8.275   11.060   11.070   11.080 1.922   1.927   1.937 1.937   1.942   1.952
  15669         3.187   3.187   3.187   8.925   8.925   8.925   11.160   11.180   11.200 2.037   2.062   2.082 2.042   2.067   2.087
  1842         0.097   0.097   0.097   8.325   8.325   8.325   9.712   9.722   9.732 0.082   0.092   0.102 1.737   1.747   1.757
  18883         3.502   3.502   4.727   8.325   8.425   8.425   11.110   11.120   11.150 2.487   2.497   2.662 2.502   2.512   2.667
  19203         2.792   2.792   2.792   9.075   9.075   9.075   8.792   8.812   8.812 1.553   1.533   1.533 1.538   1.518   1.518
  2127         0.672   0.672   0.672   8.075   8.075   8.075   9.187   9.197   9.202 0.907   0.917   0.922 0.922   0.932   0.937
  21662         4.397   4.397   4.397   8.375   8.375   8.375   11.470   11.470   11.470 2.907   2.912   2.912 2.912   2.917   2.917
  22707         2.842   2.842   2.842   8.125   8.125   8.125   9.432   9.442   9.447 1.117   1.127   1.132 1.122   1.132   1.137
  22959         4.442   4.442   4.442   8.875   8.875   8.875   10.110   10.120   10.130 0.388   0.373   0.363 0.378   0.363   0.353
  23482         0.287   0.287   1.437   8.225   8.575   8.575   9.637   9.807   9.822 0.862   0.877   1.212 0.867   0.882   1.217
  23720         0.667   0.667   1.197   8.525   8.775   8.775   8.982   9.037   9.047 0.027   0.057   0.092 0.032   0.057   0.097
  23751         2.847   2.847   2.847   8.775   8.775   8.775   11.230   11.240   11.250 1.867   1.872   1.882 1.867   1.872   1.882
  2428         2.647   2.647   2.647   9.475   9.475   9.475   9.947   9.952   9.957 1.548   1.543   1.538 1.538   1.533   1.528
  24572         0.312   0.312   0.312   7.775   7.775   7.775   8.377   8.387   8.392 0.412   0.422   0.427 0.417   0.427   0.432
  25835         0.657   1.632   3.652   8.875   9.125   9.325   9.642   9.732   9.812 0.172   0.307   0.547 0.177   0.317   0.552
  26600         1.012   1.167   3.022   7.975   7.975   8.675   8.452   8.697   9.097 0.272   0.532   0.832 0.272   0.442   0.537
  3019         3.747   3.747   3.747   8.875   8.875   8.875   10.840   10.840   10.840 0.842   0.842   0.842 0.852   0.852   0.852
  449         1.777   1.777   2.897   7.775   7.775   7.775   9.082   9.097   9.107 1.082   1.097   1.107 1.087   1.097   1.112
  5012         0.232   0.392   1.782   8.025   8.725   8.925   9.547   9.762   9.822 0.762   0.887   1.382 0.762   0.892   1.387
  5088         0.307   0.307   0.307   7.975   7.975   7.975   9.262   9.267   9.272 1.112   1.117   1.122 1.117   1.122   1.127
  6131         3.482   3.482   3.482   8.675   8.675   8.675   12.110   12.120   12.130 3.242   3.247   3.257 3.247   3.252   3.262
  6401         2.882   2.882   2.882   9.375   9.375   9.375   10.720   10.720   10.730 0.053   0.048   0.043 0.043   0.038   0.033
  7885         0.902   0.902   0.902   9.425   9.425   9.425   9.927   9.932   9.937 1.338   1.333   1.328 1.333   1.328   1.323
